year_added,type,country,total_count
2017,Movie, Morocco,1
2017,Movie, Nepal,1
2017,Movie, Netherlands,4
2017,Movie, New Zealand,1
2017,Movie, Nicaragua,1
2017,Movie, Norway,1
2017,Movie, Panama,1
2017,Movie, Peru,1
2017,Movie, Philippines,1
2017,Movie, Poland,1
2017,Movie, Qatar,4
2017,Movie, Romania,1
2017,Movie, Russia,2
2017,Movie, Samoa,1
2017,Movie, Senegal,1
2017,Movie, Singapore,1
2017,Movie, Slovakia,1
2017,Movie, South Africa,3
2017,Movie, South Korea,1
2017,Movie, Soviet Union,2
2017,Movie, Spain,11
2017,Movie, Sri Lanka,1
2017,Movie, Sweden,7
2017,Movie, Switzerland,4
2017,Movie, Thailand,1
2017,Movie, United Arab Emirates,2
2017,Movie, United Kingdom,12
2017,Movie, United States,49
2017,Movie, Uruguay,4
2017,Movie, Venezuela,1
2017,Movie,Argentina,10
2017,Movie,Australia,12
2017,Movie,Austria,1
2017,Movie,Belgium,4
2017,Movie,Brazil,15
2017,Movie,Bulgaria,1
2017,Movie,Cambodia,1
2017,Movie,Canada,41
2017,Movie,Chile,5
2017,Movie,China,13
2017,Movie,Czech Republic,2
2017,Movie,Denmark,1
2017,Movie,Finland,1
2017,Movie,France,28
2017,Movie,Georgia,1
2017,Movie,Germany,16
2017,Movie,Hong Kong,2
2017,Movie,Iceland,1
2017,Movie,India,178
2017,Movie,Indonesia,1
2017,Movie,Ireland,4
2017,Movie,Israel,3
2017,Movie,Italy,8
2017,Movie,Japan,18
2017,Movie,Lebanon,1
2017,Movie,Malaysia,4
2017,Movie,Mexico,21
2017,Movie,Netherlands,4
2017,Movie,New Zealand,2
2017,Movie,Nigeria,1
2017,Movie,Norway,4
2017,Movie,Pakistan,5
2017,Movie,Portugal,1
2017,Movie,Russia,2
2017,Movie,Saudi Arabia,1
2017,Movie,Singapore,1
2017,Movie,Slovenia,1
2017,Movie,South Africa,1
2017,Movie,South Korea,11
2017,Movie,Spain,27
2017,Movie,Sweden,3
2017,Movie,Switzerland,1
2017,Movie,Thailand,1
2017,Movie,Turkey,32
2017,Movie,United Arab Emirates,2
2017,Movie,United Kingdom,71
2017,Movie,United States,345
2017,Movie,Uruguay,1
2017,Movie,Venezuela,1
2017,Movie,Vietnam,1
2017,Movie,West Germany,1
2017,TV Show, Australia,1
2017,TV Show, Canada,5
2017,TV Show, Chile,1
2017,TV Show, China,1
2017,TV Show, Colombia,1
2017,TV Show, France,2
2017,TV Show, Germany,2
2017,TV Show, Ireland,1
2017,TV Show, Italy,1
2017,TV Show, Japan,2
2017,TV Show, Mexico,2
2017,TV Show, New Zealand,1
2017,TV Show, Singapore,1
2017,TV Show, South Africa,1
2017,TV Show, South Korea,1
2017,TV Show, United Kingdom,5
2017,TV Show, United States,12
2017,TV Show,Argentina,1
2017,TV Show,Australia,12
2017,TV Show,Belgium,1
2017,TV Show,Canada,12
2017,TV Show,Chile,3
2017,TV Show,China,6
2017,TV Show,Colombia,4
2017,TV Show,Denmark,1
2017,TV Show,France,6
2017,TV Show,Germany,1
2017,TV Show,India,14
2017,TV Show,Indonesia,1
2017,TV Show,Israel,2
2017,TV Show,Italy,4
2017,TV Show,Japan,21
2017,TV Show,Malaysia,3
2017,TV Show,Mexico,9
2017,TV Show,Norway,1
2017,TV Show,Russia,4
2017,TV Show,Singapore,8
2017,TV Show,South Korea,33
2017,TV Show,Spain,6
2017,TV Show,Sweden,1
2017,TV Show,Taiwan,11
2017,TV Show,Thailand,1
2017,TV Show,Turkey,12
2017,TV Show,Ukraine,1
2017,TV Show,United Kingdom,52
2017,TV Show,United States,156
2018,Movie,,1
2018,Movie, Albania,1
2018,Movie, Argentina,3
2018,Movie, Australia,7
2018,Movie, Austria,1
2018,Movie, Bangladesh,1
2018,Movie, Belgium,11
2018,Movie, Brazil,2
2018,Movie, Bulgaria,1
2018,Movie, Canada,25
2018,Movie, Cayman Islands,1
2018,Movie, Chile,2
2018,Movie, China,15
2018,Movie, Colombia,2
2018,Movie, Croatia,1
2018,Movie, Denmark,4
2018,Movie, Dominican Republic,1
2018,Movie, Finland,1
2018,Movie, France,28
2018,Movie, Germany,15
2018,Movie, Greece,1
2018,Movie, Hong Kong,7
2018,Movie, Iceland,1
2018,Movie, India,10
2018,Movie, Indonesia,2
2018,Movie, Iran,2
2018,Movie, Iraq,1
2018,Movie, Ireland,1
2018,Movie, Israel,2
2018,Movie, Italy,4
2018,Movie, Japan,4
2018,Movie, Jordan,1
2018,Movie, Kenya,1
2018,Movie, Luxembourg,3
2018,Movie, Mexico,4
2018,Movie, Morocco,4
2018,Movie, Namibia,1
2018,Movie, Netherlands,6
2018,Movie, New Zealand,1
2018,Movie, Peru,1
2018,Movie, Poland,5
2018,Movie, Portugal,1
2018,Movie, Qatar,1
2018,Movie, Serbia,1
2018,Movie, Singapore,1
2018,Movie, Slovenia,1
2018,Movie, South Africa,6
2018,Movie, South Korea,2
2018,Movie, Spain,9
2018,Movie, Sudan,1
2018,Movie, Sweden,5
2018,Movie, Switzerland,2
2018,Movie, Taiwan,1
2018,Movie, Turkey,1
2018,Movie, Uganda,1
2018,Movie, United Arab Emirates,4
2018,Movie, United Kingdom,28
2018,Movie, United States,83
2018,Movie, Zimbabwe,1
2018,Movie,Argentina,21
2018,Movie,Australia,22
2018,Movie,Belgium,1
2018,Movie,Brazil,14
2018,Movie,Bulgaria,3
2018,Movie,Cambodia,1
2018,Movie,Canada,35
2018,Movie,Chile,7
2018,Movie,China,18
2018,Movie,Colombia,7
2018,Movie,Czech Republic,2
2018,Movie,Denmark,5
2018,Movie,Egypt,1
2018,Movie,France,24
2018,Movie,Georgia,1
2018,Movie,Germany,13
2018,Movie,Guatemala,1
2018,Movie,Hong Kong,49
2018,Movie,Hungary,2
2018,Movie,Iceland,1
2018,Movie,India,333
2018,Movie,Indonesia,26
2018,Movie,Ireland,9
2018,Movie,Israel,3
2018,Movie,Italy,10
2018,Movie,Japan,11
2018,Movie,Malaysia,2
2018,Movie,Mexico,18
2018,Movie,Netherlands,4
2018,Movie,New Zealand,3
2018,Movie,Nigeria,2
2018,Movie,Norway,2
2018,Movie,Pakistan,5
2018,Movie,Peru,2
2018,Movie,Philippines,4
2018,Movie,Poland,2
2018,Movie,Portugal,1
2018,Movie,Russia,2
2018,Movie,Serbia,2
2018,Movie,Singapore,6
2018,Movie,Somalia,1
2018,Movie,South Africa,5
2018,Movie,South Korea,13
2018,Movie,Soviet Union,1
2018,Movie,Spain,29
2018,Movie,Sweden,2
2018,Movie,Switzerland,3
2018,Movie,Taiwan,1
2018,Movie,Thailand,28
2018,Movie,Turkey,11
2018,Movie,United Arab Emirates,3
2018,Movie,United Kingdom,75
2018,Movie,United States,438
2018,Movie,Uruguay,2
2018,Movie,Venezuela,1
2018,Movie,Vietnam,2
2018,TV Show, Australia,1
2018,TV Show, Belgium,1
2018,TV Show, Brazil,2
2018,TV Show, Canada,10
2018,TV Show, Colombia,1
2018,TV Show, Czech Republic,2
2018,TV Show, Egypt,1
2018,TV Show, France,5
2018,TV Show, Germany,4
2018,TV Show, Indonesia,1
2018,TV Show, Ireland,1
2018,TV Show, Israel,1
2018,TV Show, Italy,2
2018,TV Show, Japan,3
2018,TV Show, Kuwait,1
2018,TV Show, Lebanon,1
2018,TV Show, Mexico,5
2018,TV Show, New Zealand,2
2018,TV Show, Russia,1
2018,TV Show, South Africa,2
2018,TV Show, South Korea,3
2018,TV Show, Sweden,2
2018,TV Show, Syria,1
2018,TV Show, United Kingdom,4
2018,TV Show, United States,18
2018,TV Show, West Germany,1
2018,TV Show,Argentina,3
2018,TV Show,Australia,10
2018,TV Show,Belgium,1
2018,TV Show,Brazil,4
2018,TV Show,Canada,15
2018,TV Show,China,9
2018,TV Show,Colombia,6
2018,TV Show,Czech Republic,1
2018,TV Show,Denmark,2
2018,TV Show,Egypt,1
2018,TV Show,Finland,1
2018,TV Show,France,12
2018,TV Show,Germany,4
2018,TV Show,Hong Kong,1
2018,TV Show,India,20
2018,TV Show,Ireland,3
2018,TV Show,Israel,4
2018,TV Show,Japan,38
2018,TV Show,Lebanon,1
2018,TV Show,Malaysia,1
2018,TV Show,Mexico,7
2018,TV Show,New Zealand,1
2018,TV Show,Norway,2
2018,TV Show,Philippines,1
2018,TV Show,Poland,2
2018,TV Show,Russia,4
2018,TV Show,Saudi Arabia,1
2018,TV Show,Singapore,1
2018,TV Show,South Korea,17
2018,TV Show,Spain,8
2018,TV Show,Sweden,1
2018,TV Show,Taiwan,7
2018,TV Show,Thailand,7
2018,TV Show,Turkey,2
2018,TV Show,Ukraine,1
2018,TV Show,United Kingdom,51
2018,TV Show,United States,242
2019,Movie,,1
2019,Movie, Argentina,3
2019,Movie, Australia,10
2019,Movie, Austria,1
2019,Movie, Belgium,15
2019,Movie, Brazil,2
2019,Movie, Bulgaria,1
2019,Movie, Cambodia,1
2019,Movie, Canada,25
2019,Movie, Chile,1
2019,Movie, China,18
2019,Movie, Czech Republic,4
2019,Movie, Denmark,2
2019,Movie, Finland,2
2019,Movie, France,37
2019,Movie, Germany,27
2019,Movie, Hong Kong,7
2019,Movie, Hungary,1
2019,Movie, India,6
2019,Movie, Iraq,1
2019,Movie, Ireland,2
2019,Movie, Italy,9
2019,Movie, Japan,9
2019,Movie, Liechtenstein,1
2019,Movie, Luxembourg,4
2019,Movie, Malawi,1
2019,Movie, Malaysia,1
2019,Movie, Malta,1
2019,Movie, Mexico,6
2019,Movie, Morocco,1
2019,Movie, Nepal,1
2019,Movie, Netherlands,3
